# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00015547 -2.00000 10.00000 0.0936335474 1.1156111859    0.094 -3.051  3.5131  5.464    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.77e-17      0.00 7.480e-01 2.519e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.397 12.978 14.308 11.860
0.00015547 -2.00000 10.00000 0.0987751186 1.1607923229    0.099 -2.892  3.5353  5.417    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-16      0.00 7.469e-01 2.529e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.001 12.499 13.631 11.454
0.00015547 -2.00000 10.00000 0.1035686582 1.2002434792    0.103 -2.752  3.5549  5.375    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-16      0.00 7.459e-01 2.539e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.650 12.070 13.067 11.086
0.00015547 -2.00000 10.00000 0.1234388798 1.3415665689    0.123 -2.477  3.5826  5.288    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.71e-16      0.00 7.432e-01 2.566e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 10.962 11.281 12.127 10.374
0.00015547 -2.00000 10.00000 0.1433091164 1.4560319688    0.143 -2.302  3.5961  5.232    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.02e-16      0.00 7.414e-01 2.584e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.524 10.801 11.585 9.929
0.00015547 -2.00000 10.00000 0.1631793380 1.5515256229    0.163 -2.165  3.6049  5.186    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.43e-16      0.00 7.403e-01 2.596e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 10.183 10.432 11.180 9.583
0.00015547 -2.00000 10.00000 0.2029198259 1.7036916472    0.203 -1.951  3.6167  5.114    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.67e-16      0.00 7.395e-01 2.604e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 9.647 9.861 10.561 9.042
0.00015547 -2.00000 10.00000 0.2525953948 1.8468695073    0.252 -1.753  3.6273  5.054    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-15      0.00 7.396e-01 2.603e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 9.152 9.334 9.994 8.541
0.00015547 -2.00000 10.00000 0.3022710085 1.9574397077    0.302 -1.600  3.6361  5.014    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-15      0.00 7.397e-01 2.601e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.637e-04 8.770 8.926 9.555 8.155
0.00015547 -2.00000 10.00000 0.3519465327 2.0465963009    0.352 -1.474  3.6442  4.987    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-15      0.00 7.400e-01 2.598e-01 2.940e-05 7.942e-06 7.201e-05 -1.000 1.636e-04 8.455 8.588 9.190 7.836
0.00015547 -2.00000 10.00000 0.4016221166 2.1207314881    0.401 -1.352  3.6530  4.957    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-15      0.00 7.503e-01 2.496e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 8.150 8.258 8.833 7.527
0.00015547 -2.00000 10.00000 0.4512977004 2.1838121607    0.451 -1.202  3.6673  4.915    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.1e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 7.775 7.847 8.379 7.150
0.00015547 -2.00000 10.00000 0.5009732842 2.2384552293    0.501 -1.035  3.6840  4.861    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.08e-15      0.00 7.513e-01 2.486e-01 2.939e-05 7.929e-06 7.192e-05 -1.000 1.636e-04 7.357 7.393 7.878 6.735
0.00015547 -2.00000 10.00000 0.5506489277 2.2841947944    0.550 -0.840  3.7033  4.784    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -9.92e-15      0.00 7.792e-01 2.207e-01 2.628e-05 7.095e-06 6.437e-05 -1.000 1.013e-04 6.871 6.875 7.310 6.260
0.00015547 -2.00000 10.00000 0.5940754414 2.3170597281    0.594 -0.667  3.7243  4.728    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-14      0.00 7.884e-01 2.114e-01 2.530e-05 6.832e-06 6.201e-05 -1.000 1.560e-04 6.437 6.418 6.805 5.849
